day,order_id,product,quantity,zone,max_transit_days,priority_points
2025-04-11,O11-05,K2,2,N,3,20
2025-04-10,O10-05,K4,3,S,3,30
2025-04-08,O08-03,A,2,S,2,20
2025-04-09,O09-10,OLD-K3,3,N,1,20
2025-04-04,O04-07,OLD-K3,2,N,1,40
2025-04-09,O09-08,C,1,N,2,40
2025-04-07,O07-10,OLD-A,3,E,3,40
2025-04-11,O11-01,OLD-K4,2,S,1,40
2025-04-08,O08-01,OLD-K4,2,E,1,40
2025-04-05,O05-03,K2,2,E,1,20
2025-04-02,O02-01,OLD-K4,2,E,3,40
2025-04-07,O07-07,OLD-K3,2,N,2,40
2025-04-04,O04-02,K3,2,N,3,30
2025-04-04,O04-01,OLD-K4,2,S,3,40
2025-04-12,O12-03,K3,3,N,1,30
2025-04-03,O03-07,OLD-D,1,E,2,20
2025-04-06,O06-02,K3,2,S,2,30
2025-04-05,O05-09,K2,1,S,1,40
2025-04-01,O01-10,OLD-K1,1,E,2,30
2025-04-08,O08-04,OLD-B,2,N,1,40
2025-04-02,O02-02,K3,2,S,2,30
2025-04-01,O01-05,D,1,S,3,40
2025-04-03,O03-05,K4,3,S,1,10
2025-04-12,O12-05,K1,3,S,3,30
2025-04-03,O03-04,OLD-K2,3,S,1,10
2025-04-09,O09-04,OLD-K4,3,E,1,10
2025-04-02,O02-07,OLD-K1,1,S,3,40
2025-04-08,O08-02,K3,2,S,2,30
2025-04-06,O06-08,B,3,E,3,30
2025-04-11,O11-10,OLD-K1,1,N,2,30
2025-04-11,O11-03,K3,1,S,2,40
2025-04-02,O02-04,OLD-A,3,E,1,10
2025-04-10,O10-10,OLD-K3,3,N,3,20
2025-04-11,O11-06,B,1,E,1,10
2025-04-04,O04-08,K4,3,E,2,20
2025-04-04,O04-10,OLD-K1,2,N,1,20
2025-04-07,O07-04,OLD-K3,1,N,2,30
2025-04-09,O09-07,OLD-D,3,N,3,40
2025-04-09,O09-05,K2,3,S,2,10
2025-04-03,O03-10,OLD-K2,2,E,1,10
2025-04-01,O01-07,OLD-K4,3,N,1,40
2025-04-10,O10-08,A,3,N,1,20
2025-04-05,O05-04,OLD-K1,1,E,3,40
2025-04-06,O06-05,B,3,N,3,20
2025-04-01,O01-04,OLD-B,1,E,2,30
2025-04-07,O07-02,K3,2,S,3,30
2025-04-04,O04-06,K3,1,N,1,30
2025-04-08,O08-06,K3,3,S,1,40
2025-04-12,O12-06,K3,1,S,2,40
2025-04-05,O05-10,OLD-B,3,N,3,40
2025-04-03,O03-01,OLD-K4,2,E,3,40
2025-04-06,O06-10,OLD-K1,2,E,3,40
2025-04-08,O08-09,B,3,E,3,20
2025-04-03,O03-03,K4,3,S,2,40
2025-04-06,O06-03,B,2,N,2,30
2025-04-07,O07-01,OLD-K4,2,S,3,40
2025-04-11,O11-04,OLD-B,1,S,3,20
2025-04-03,O03-02,K3,2,N,3,30
2025-04-12,O12-01,OLD-K4,2,E,3,40
2025-04-07,O07-03,B,1,S,2,20
2025-04-09,O09-03,K3,1,E,3,10
2025-04-08,O08-07,OLD-A,3,E,2,30
2025-04-01,O01-02,K3,2,N,3,30
2025-04-01,O01-01,OLD-K4,2,E,2,40
2025-04-06,O06-09,B,1,E,3,30
2025-04-04,O04-09,K1,3,S,3,30
2025-04-09,O09-01,OLD-K4,2,S,2,40
2025-04-05,O05-08,B,1,E,3,10
2025-04-12,O12-10,OLD-C,3,N,3,10
2025-04-02,O02-03,C,1,E,3,20
2025-04-07,O07-09,D,1,S,1,30
2025-04-03,O03-06,K2,1,N,2,30
2025-04-05,O05-05,K4,3,N,2,30
2025-04-08,O08-05,B,3,N,1,40
2025-04-03,O03-09,K2,3,N,3,10
2025-04-01,O01-08,K3,2,N,3,10
