record_id,event_id,revision,received_at,effective_at,cancelled,kind,warehouse,destination,sku,quantity,unit_cost,reference_id
E015-04-r9,E015-04,9,2025-03-06,2025-02-04,1,RETURN,001,,00015,3,9999,E015-03
E024-09-r9,E024-09,9,2025-03-06,2025-02-09,1,RECEIPT,001,,OLD-00024,999,261,
E012-11-r2,E012-11,2,2025-03-05,2025-02-28,0,RECEIPT,BAD,,MISSING,12,177,
E002-08-r9,E002-08,9,2025-03-06,2025-02-08,1,RETURN,001,,00002,13,0,E002-03
E020-07-r9,E020-07,9,2025-03-06,2025-02-07,1,TRANSFER,001,002,OLD-00020,99,0,
E019-02-r9,E019-02,9,2025-03-06,2025-02-02,1,RECEIPT,001,,00019,6,266,
E022-03-r2,E022-03,2,2025-03-05,2025-02-03,0,ISSUE,001,,OLD-00022,12,0,
E002-03-r9,E002-03,9,2025-03-06,2025-02-03,1,ISSUE,001,,OLD-00002,13,0,
E001-03-r1,E001-03,1,2025-03-05,2025-02-03,0,ISSUE,001,,OLD-00001,777,0,
E001-02-r1,E001-02,1,2025-03-05,2025-02-02,0,RECEIPT,001,,00001,777,140,
E020-14-r2,E020-14,2,2025-03-05,2025-02-28,0,RETURN,001,,OLD-00020,11,233,NO-SUCH-ISSUE
E007-01-r2,E007-01,2,2025-03-05,2025-02-01,0,RECEIPT,001,,OLD-00007,10,142,
E003-07-r2,E003-07,2,2025-03-05,2025-02-07,0,TRANSFER,001,002,OLD-00003,99,0,
E011-09-r2,E011-09,2,2025-03-05,2025-02-09,1,RECEIPT,001,,OLD-00011,999,170,
E016-09-r2,E016-09,2,2025-03-05,2025-02-09,1,RECEIPT,001,,OLD-00016,999,205,
E002-09-r1,E002-09,1,2025-03-05,2025-02-09,0,RECEIPT,001,,OLD-00002,777,107,
E019-10-r2,E019-10,2,2025-03-05,2025-03-01,0,RECEIPT,001,,MISSING,10,226,
E009-11-r2,E009-11,2,2025-03-05,2025-02-28,0,RECEIPT,BAD,,MISSING,12,156,
E023-11-r2,E023-11,2,2025-03-05,2025-02-28,0,RECEIPT,BAD,,MISSING,11,254,
E006-13-r2,E006-13,2,2025-03-05,2025-02-28,0,RECEIPT,001,,99999,12,135,
E023-03-r9,E023-03,9,2025-03-06,2025-02-03,1,ISSUE,001,,OLD-00023,13,0,
E019-01-r9,E019-01,9,2025-03-06,2025-02-01,1,RECEIPT,001,,OLD-00019,10,226,
E017-05-r9,E017-05,9,2025-03-06,2025-02-05,1,TRANSFER,001,002,OLD-00017,5,0,
E001-09-r2,E001-09,2,2025-03-05,2025-02-09,1,RECEIPT,001,,OLD-00001,999,100,
E001-02-r2,E001-02,2,2025-03-05,2025-02-02,0,RECEIPT,001,,00001,6,140,
E023-07-r1,E023-07,1,2025-03-05,2025-02-07,0,TRANSFER,001,002,OLD-00023,777,0,
E007-14-r2,E007-14,2,2025-03-05,2025-02-28,0,RETURN,001,,OLD-00007,10,142,NO-SUCH-ISSUE
E021-11-r2,E021-11,2,2025-03-05,2025-02-28,0,RECEIPT,BAD,,MISSING,12,240,
E003-02-r9,E003-02,9,2025-03-06,2025-02-02,1,RECEIPT,001,,00003,6,154,
E019-09-r1,E019-09,1,2025-03-05,2025-02-09,0,RECEIPT,001,,OLD-00019,777,226,
E007-09-r1,E007-09,1,2025-03-05,2025-02-09,0,RECEIPT,001,,OLD-00007,777,142,
E005-03-r2,E005-03,2,2025-03-05,2025-02-03,0,ISSUE,001,,OLD-00005,13,0,
E008-08-r2,E008-08,2,2025-03-05,2025-02-08,0,RETURN,001,,00008,13,0,E008-03
E017-09-r9,E017-09,9,2025-03-06,2025-02-09,1,RECEIPT,001,,OLD-00017,999,212,
E011-07-r9,E011-07,9,2025-03-06,2025-02-07,1,TRANSFER,001,002,OLD-00011,99,0,
E008-03-r9,E008-03,9,2025-03-06,2025-02-03,1,ISSUE,001,,OLD-00008,13,0,
E011-04-r1,E011-04,1,2025-03-05,2025-02-04,0,RETURN,001,,00011,777,9999,E011-03
E021-06-r1,E021-06,1,2025-03-05,2025-02-06,0,ISSUE,002,,00021,777,0,
E014-05-r9,E014-05,9,2025-03-06,2025-02-05,1,TRANSFER,001,002,OLD-00014,5,0,
E006-07-r9,E006-07,9,2025-03-06,2025-02-07,1,TRANSFER,001,002,OLD-00006,99,0,
E008-09-r1,E008-09,1,2025-03-05,2025-02-09,0,RECEIPT,001,,OLD-00008,777,149,
E003-09-r1,E003-09,1,2025-03-05,2025-02-09,0,RECEIPT,001,,OLD-00003,777,114,
E012-03-r2,E012-03,2,2025-03-05,2025-02-03,0,ISSUE,001,,OLD-00012,14,0,
E017-07-r1,E017-07,1,2025-03-05,2025-02-07,0,TRANSFER,001,002,OLD-00017,777,0,
E023-03-r2,E023-03,2,2025-03-05,2025-02-03,0,ISSUE,001,,OLD-00023,13,0,
E012-06-r9,E012-06,9,2025-03-06,2025-02-06,1,ISSUE,002,,00012,3,0,
E009-04-r1,E009-04,1,2025-03-05,2025-02-04,0,RETURN,001,,00009,777,9999,E009-03
E021-06-r2,E021-06,2,2025-03-05,2025-02-06,0,ISSUE,002,,00021,3,0,
E024-11-r2,E024-11,2,2025-03-05,2025-02-28,0,RECEIPT,BAD,,MISSING,12,261,
E002-04-r2,E002-04,2,2025-03-05,2025-02-04,0,RETURN,001,,00002,3,9999,E002-03
E004-13-r2,E004-13,2,2025-03-05,2025-02-28,0,RECEIPT,001,,99999,10,121,
E019-04-r1,E019-04,1,2025-03-05,2025-02-04,0,RETURN,001,,00019,777,9999,E019-03
E007-07-r1,E007-07,1,2025-03-05,2025-02-07,0,TRANSFER,001,002,OLD-00007,777,0,
E009-01-r9,E009-01,9,2025-03-06,2025-02-01,1,RECEIPT,001,,OLD-00009,12,156,
E001-04-r2,E001-04,2,2025-03-05,2025-02-04,0,RETURN,001,,00001,3,9999,E001-03
E015-03-r9,E015-03,9,2025-03-06,2025-02-03,1,ISSUE,001,,OLD-00015,14,0,
E013-08-r2,E013-08,2,2025-03-05,2025-02-08,0,RETURN,001,,00013,12,0,E013-03
E013-07-r1,E013-07,1,2025-03-05,2025-02-07,0,TRANSFER,001,002,OLD-00013,777,0,
E024-06-r9,E024-06,9,2025-03-06,2025-02-06,1,ISSUE,002,,00024,3,0,
E001-12-r2,E001-12,2,2025-03-05,2025-02-28,0,RECEIPT,001,,MISSING,10,100,
E021-08-r1,E021-08,1,2025-03-05,2025-02-08,0,RETURN,001,,00021,777,0,E021-03
E020-08-r1,E020-08,1,2025-03-05,2025-02-08,0,RETURN,001,,00020,777,0,E020-03
E010-06-r9,E010-06,9,2025-03-06,2025-02-06,1,ISSUE,002,,00010,3,0,
E001-11-r2,E001-11,2,2025-03-05,2025-02-28,0,RECEIPT,BAD,,MISSING,10,100,
E006-07-r2,E006-07,2,2025-03-05,2025-02-07,0,TRANSFER,001,002,OLD-00006,99,0,
E021-10-r2,E021-10,2,2025-03-05,2025-03-01,0,RECEIPT,001,,MISSING,12,240,
E010-03-r2,E010-03,2,2025-03-05,2025-02-03,0,ISSUE,001,,OLD-00010,12,0,
E009-03-r1,E009-03,1,2025-03-05,2025-02-03,0,ISSUE,001,,OLD-00009,777,0,
E016-10-r2,E016-10,2,2025-03-05,2025-03-01,0,RECEIPT,001,,MISSING,10,205,
E009-07-r2,E009-07,2,2025-03-05,2025-02-07,0,TRANSFER,001,002,OLD-00009,99,0,
E017-01-r1,E017-01,1,2025-03-05,2025-02-01,0,RECEIPT,001,,OLD-00017,777,212,
E003-06-r9,E003-06,9,2025-03-06,2025-02-06,1,ISSUE,002,,00003,3,0,
E018-02-r9,E018-02,9,2025-03-06,2025-02-02,1,RECEIPT,001,,00018,6,259,
E023-07-r9,E023-07,9,2025-03-06,2025-02-07,1,TRANSFER,001,002,OLD-00023,99,0,
E022-02-r9,E022-02,9,2025-03-06,2025-02-02,1,RECEIPT,001,,00022,6,287,
E011-02-r1,E011-02,1,2025-03-05,2025-02-02,0,RECEIPT,001,,00011,777,210,
E022-04-r2,E022-04,2,2025-03-05,2025-02-04,0,RETURN,001,,00022,3,9999,E022-03
E018-07-r1,E018-07,1,2025-03-05,2025-02-07,0,TRANSFER,001,002,OLD-00018,777,0,
E015-02-r9,E015-02,9,2025-03-06,2025-02-02,1,RECEIPT,001,,00015,6,238,
E021-03-r9,E021-03,9,2025-03-06,2025-02-03,1,ISSUE,001,,OLD-00021,14,0,
E019-02-r2,E019-02,2,2025-03-05,2025-02-02,0,RECEIPT,001,,00019,6,266,
E008-13-r2,E008-13,2,2025-03-05,2025-02-28,0,RECEIPT,001,,99999,11,149,
E009-14-r2,E009-14,2,2025-03-05,2025-02-28,0,RETURN,001,,OLD-00009,12,156,NO-SUCH-ISSUE
E016-02-r2,E016-02,2,2025-03-05,2025-02-02,0,RECEIPT,001,,00016,6,245,
E012-01-r1,E012-01,1,2025-03-05,2025-02-01,0,RECEIPT,001,,OLD-00012,777,177,
E019-09-r9,E019-09,9,2025-03-06,2025-02-09,1,RECEIPT,001,,OLD-00019,999,226,
E008-05-r1,E008-05,1,2025-03-05,2025-02-05,0,TRANSFER,001,002,OLD-00008,777,0,
E005-06-r9,E005-06,9,2025-03-06,2025-02-06,1,ISSUE,002,,00005,3,0,
E024-07-r2,E024-07,2,2025-03-05,2025-02-07,0,TRANSFER,001,002,OLD-00024,99,0,
E020-05-r9,E020-05,9,2025-03-06,2025-02-05,1,TRANSFER,001,002,OLD-00020,5,0,
E014-06-r2,E014-06,2,2025-03-05,2025-02-06,0,ISSUE,002,,00014,3,0,
E017-12-r2,E017-12,2,2025-03-05,2025-02-28,0,RECEIPT,001,,MISSING,11,212,
E021-14-r2,E021-14,2,2025-03-05,2025-02-28,0,RETURN,001,,OLD-00021,12,240,NO-SUCH-ISSUE
E015-02-r1,E015-02,1,2025-03-05,2025-02-02,0,RECEIPT,001,,00015,777,238,
E014-12-r2,E014-12,2,2025-03-05,2025-02-28,0,RECEIPT,001,,MISSING,11,191,
E020-02-r9,E020-02,9,2025-03-06,2025-02-02,1,RECEIPT,001,,00020,6,273,
E011-01-r2,E011-01,2,2025-03-05,2025-02-01,0,RECEIPT,001,,OLD-00011,11,170,
E008-04-r9,E008-04,9,2025-03-06,2025-02-04,1,RETURN,001,,00008,3,9999,E008-03
E022-02-r1,E022-02,1,2025-03-05,2025-02-02,0,RECEIPT,001,,00022,777,287,
E024-08-r2,E024-08,2,2025-03-05,2025-02-08,0,RETURN,001,,00024,14,0,E024-03
E024-02-r1,E024-02,1,2025-03-05,2025-02-02,0,RECEIPT,001,,00024,777,301,
E007-06-r2,E007-06,2,2025-03-05,2025-02-06,0,ISSUE,002,,00007,3,0,
E007-10-r2,E007-10,2,2025-03-05,2025-03-01,0,RECEIPT,001,,MISSING,10,142,
E005-12-r2,E005-12,2,2025-03-05,2025-02-28,0,RECEIPT,001,,MISSING,11,128,
E014-06-r9,E014-06,9,2025-03-06,2025-02-06,1,ISSUE,002,,00014,3,0,
E011-08-r2,E011-08,2,2025-03-05,2025-02-08,0,RETURN,001,,00011,13,0,E011-03
E002-04-r1,E002-04,1,2025-03-05,2025-02-04,0,RETURN,001,,00002,777,9999,E002-03
E018-03-r9,E018-03,9,2025-03-06,2025-02-03,1,ISSUE,001,,OLD-00018,14,0,
E016-04-r9,E016-04,9,2025-03-06,2025-02-04,1,RETURN,001,,00016,3,9999,E016-03
E006-11-r2,E006-11,2,2025-03-05,2025-02-28,0,RECEIPT,BAD,,MISSING,12,135,
E022-12-r2,E022-12,2,2025-03-05,2025-02-28,0,RECEIPT,001,,MISSING,10,247,
E005-02-r2,E005-02,2,2025-03-05,2025-02-02,0,RECEIPT,001,,00005,6,168,
E017-02-r9,E017-02,9,2025-03-06,2025-02-02,1,RECEIPT,001,,00017,6,252,
E006-14-r2,E006-14,2,2025-03-05,2025-02-28,0,RETURN,001,,OLD-00006,12,135,NO-SUCH-ISSUE
E017-08-r9,E017-08,9,2025-03-06,2025-02-08,1,RETURN,001,,00017,13,0,E017-03
E003-03-r1,E003-03,1,2025-03-05,2025-02-03,0,ISSUE,001,,OLD-00003,777,0,
E015-09-r9,E015-09,9,2025-03-06,2025-02-09,1,RECEIPT,001,,OLD-00015,999,198,
E011-03-r2,E011-03,2,2025-03-05,2025-02-03,0,ISSUE,001,,OLD-00011,13,0,
E007-02-r9,E007-02,9,2025-03-06,2025-02-02,1,RECEIPT,001,,00007,6,182,
E004-10-r2,E004-10,2,2025-03-05,2025-03-01,0,RECEIPT,001,,MISSING,10,121,
E013-10-r2,E013-10,2,2025-03-05,2025-03-01,0,RECEIPT,001,,MISSING,10,184,
E004-14-r2,E004-14,2,2025-03-05,2025-02-28,0,RETURN,001,,OLD-00004,10,121,NO-SUCH-ISSUE
E004-06-r9,E004-06,9,2025-03-06,2025-02-06,1,ISSUE,002,,00004,3,0,
E004-04-r9,E004-04,9,2025-03-06,2025-02-04,1,RETURN,001,,00004,3,9999,E004-03
E018-12-r2,E018-12,2,2025-03-05,2025-02-28,0,RECEIPT,001,,MISSING,12,219,
E024-01-r9,E024-01,9,2025-03-06,2025-02-01,1,RECEIPT,001,,OLD-00024,12,261,
E020-04-r1,E020-04,1,2025-03-05,2025-02-04,0,RETURN,001,,00020,777,9999,E020-03
E010-04-r2,E010-04,2,2025-03-05,2025-02-04,0,RETURN,001,,00010,3,9999,E010-03
E001-08-r2,E001-08,2,2025-03-05,2025-02-08,0,RETURN,001,,00001,12,0,E001-03
E006-06-r9,E006-06,9,2025-03-06,2025-02-06,1,ISSUE,002,,00006,3,0,
E021-13-r2,E021-13,2,2025-03-05,2025-02-28,0,RECEIPT,001,,99999,12,240,
E004-09-r2,E004-09,2,2025-03-05,2025-02-09,1,RECEIPT,001,,OLD-00004,999,121,
E006-04-r1,E006-04,1,2025-03-05,2025-02-04,0,RETURN,001,,00006,777,9999,E006-03
E006-02-r1,E006-02,1,2025-03-05,2025-02-02,0,RECEIPT,001,,00006,777,175,
E016-09-r9,E016-09,9,2025-03-06,2025-02-09,1,RECEIPT,001,,OLD-00016,999,205,
E002-06-r9,E002-06,9,2025-03-06,2025-02-06,1,ISSUE,002,,00002,3,0,
E005-14-r2,E005-14,2,2025-03-05,2025-02-28,0,RETURN,001,,OLD-00005,11,128,NO-SUCH-ISSUE
E020-04-r9,E020-04,9,2025-03-06,2025-02-04,1,RETURN,001,,00020,3,9999,E020-03
E024-02-r2,E024-02,2,2025-03-05,2025-02-02,0,RECEIPT,001,,00024,6,301,
E014-02-r1,E014-02,1,2025-03-05,2025-02-02,0,RECEIPT,001,,00014,777,231,
E002-05-r9,E002-05,9,2025-03-06,2025-02-05,1,TRANSFER,001,002,OLD-00002,5,0,
E008-01-r2,E008-01,2,2025-03-05,2025-02-01,0,RECEIPT,001,,OLD-00008,11,149,
E018-09-r9,E018-09,9,2025-03-06,2025-02-09,1,RECEIPT,001,,OLD-00018,999,219,
E001-08-r9,E001-08,9,2025-03-06,2025-02-08,1,RETURN,001,,00001,12,0,E001-03
E017-08-r1,E017-08,1,2025-03-05,2025-02-08,0,RETURN,001,,00017,777,0,E017-03
E020-07-r1,E020-07,1,2025-03-05,2025-02-07,0,TRANSFER,001,002,OLD-00020,777,0,
E009-06-r9,E009-06,9,2025-03-06,2025-02-06,1,ISSUE,002,,00009,3,0,
E006-02-r2,E006-02,2,2025-03-05,2025-02-02,0,RECEIPT,001,,00006,6,175,
E023-12-r2,E023-12,2,2025-03-05,2025-02-28,0,RECEIPT,001,,MISSING,11,254,
E002-02-r9,E002-02,9,2025-03-06,2025-02-02,1,RECEIPT,001,,00002,6,147,
E012-10-r2,E012-10,2,2025-03-05,2025-03-01,0,RECEIPT,001,,MISSING,12,177,
E021-07-r2,E021-07,2,2025-03-05,2025-02-07,0,TRANSFER,001,002,OLD-00021,99,0,
E016-09-r1,E016-09,1,2025-03-05,2025-02-09,0,RECEIPT,001,,OLD-00016,777,205,
E009-08-r2,E009-08,2,2025-03-05,2025-02-08,0,RETURN,001,,00009,14,0,E009-03
E005-03-r1,E005-03,1,2025-03-05,2025-02-03,0,ISSUE,001,,OLD-00005,777,0,
E009-07-r1,E009-07,1,2025-03-05,2025-02-07,0,TRANSFER,001,002,OLD-00009,777,0,
E006-09-r2,E006-09,2,2025-03-05,2025-02-09,1,RECEIPT,001,,OLD-00006,999,135,
E012-07-r9,E012-07,9,2025-03-06,2025-02-07,1,TRANSFER,001,002,OLD-00012,99,0,
E006-06-r1,E006-06,1,2025-03-05,2025-02-06,0,ISSUE,002,,00006,777,0,
E020-12-r2,E020-12,2,2025-03-05,2025-02-28,0,RECEIPT,001,,MISSING,11,233,
E002-02-r2,E002-02,2,2025-03-05,2025-02-02,0,RECEIPT,001,,00002,6,147,
E022-05-r9,E022-05,9,2025-03-06,2025-02-05,1,TRANSFER,001,002,OLD-00022,5,0,
E016-03-r2,E016-03,2,2025-03-05,2025-02-03,0,ISSUE,001,,OLD-00016,12,0,
E001-06-r2,E001-06,2,2025-03-05,2025-02-06,0,ISSUE,002,,00001,3,0,
E011-13-r2,E011-13,2,2025-03-05,2025-02-28,0,RECEIPT,001,,99999,11,170,
E008-04-r1,E008-04,1,2025-03-05,2025-02-04,0,RETURN,001,,00008,777,9999,E008-03
E003-01-r2,E003-01,2,2025-03-05,2025-02-01,0,RECEIPT,001,,OLD-00003,12,114,
E002-07-r1,E002-07,1,2025-03-05,2025-02-07,0,TRANSFER,001,002,OLD-00002,777,0,
E016-14-r2,E016-14,2,2025-03-05,2025-02-28,0,RETURN,001,,OLD-00016,10,205,NO-SUCH-ISSUE
E002-09-r9,E002-09,9,2025-03-06,2025-02-09,1,RECEIPT,001,,OLD-00002,999,107,
E017-09-r1,E017-09,1,2025-03-05,2025-02-09,0,RECEIPT,001,,OLD-00017,777,212,
E009-04-r9,E009-04,9,2025-03-06,2025-02-04,1,RETURN,001,,00009,3,9999,E009-03
E024-14-r2,E024-14,2,2025-03-05,2025-02-28,0,RETURN,001,,OLD-00024,12,261,NO-SUCH-ISSUE
E018-09-r2,E018-09,2,2025-03-05,2025-02-09,1,RECEIPT,001,,OLD-00018,999,219,
E007-12-r2,E007-12,2,2025-03-05,2025-02-28,0,RECEIPT,001,,MISSING,10,142,
