record_id,region_code,year,revision,published_at,status,earners,median_income
I0116-superseded,040027,2023,1,2024-01-01,final,2128,999999
I0094-current,040005,2023,2,2024-06-15,final,0,47000
I0214-current,080005,2023,2,2024-06-15,final,2262,52000
I0111-wrong_year,040022,2022,99,2024-06-15,final,1713,42500
I0176-superseded,LEG-060027,2023,1,2024-01-01,final,3108,999999
I0165-wrong_year,060016,2022,99,2024-06-15,final,2195,50000
I0040-not_final,LEG-020011,2023,8,2024-06-15,provisional,3820,25000
I0194-wrong_year,070015,2022,99,2024-06-15,final,602,54500
I0067-wrong_year,030008,2022,99,2024-06-15,final,2061,36000
I0083-current,030024,2023,2,2024-06-15,final,3389,42000
I0202-wrong_year,070023,2022,99,2024-06-15,final,1266,57500
I0212-wrong_year,080003,2022,99,2024-06-15,final,2096,58500
I0054-wrong_year,020025,2022,99,2024-06-15,final,982,37500
I0093-wrong_year,040004,2022,99,2024-06-15,final,4219,43000
I0052-current,020023,2023,2,2024-06-15,final,816,29500
I0010-current,010011,2023,2,2024-06-15,final,1330,31000
I0065-current,030006,2023,2,2024-06-15,final,1895,42500
I0064-current,LEG-030005,2023,2,2024-06-15,final,1812,38500
I0232-superseded,LEG-080023,2023,1,2024-01-01,final,3756,999999
I0113-wrong_year,040024,2022,99,2024-06-15,final,1879,36000
I0072-superseded,LEG-030013,2023,1,2024-01-01,final,2476,999999
I0160-after_cutoff,LEG-060011,2023,9,2024-07-01,final,1780,44500
I0169-current,060020,2023,2,2024-06-15,final,2527,51500
I0152-wrong_year,LEG-060003,2022,99,2024-06-15,final,1116,56000
I0087-current,030028,2023,2,2024-06-15,final,3721,29000
I0211-current,080002,2023,2,2024-06-15,final,2013,54500
I0125-current,050006,2023,2,2024-06-15,final,2875,45000
I0188-superseded,070009,2023,1,2024-01-01,final,0,999999
I0047-current,020018,2023,2,2024-06-15,final,0,38500
I0036-wrong_year,020007,2022,99,2024-06-15,final,3488,38000
i-880006,880006,2023,2,2024-06-15,final,0,20000
I0205-current,070026,2023,2,2024-06-15,final,1515,55000
I0204-wrong_year,070025,2022,99,2024-06-15,final,1432,51000
I0028-wrong_year,010029,2022,99,2024-06-15,final,2824,30500
I0075-wrong_year,030016,2022,99,2024-06-15,final,2725,39000
I0189-current,070010,2023,2,2024-06-15,final,4187,49000
I0200-superseded,LEG-070021,2023,1,2024-01-01,final,1100,999999
I0032-current,LEG-020003,2023,2,2024-06-15,final,3156,36500
I0001-current,010002,2023,2,2024-06-15,final,583,24000
I0090-not_final,040001,2023,8,2024-06-15,provisional,3970,45500
I0220-not_final,080011,2023,8,2024-06-15,provisional,2760,61500
I0225-wrong_year,080016,2022,99,2024-06-15,final,3175,52500
I0238-current,080029,2023,2,2024-06-15,final,4254,61000
I0150-not_final,060001,2023,8,2024-06-15,provisional,950,48000
I0150-wrong_year,060001,2022,99,2024-06-15,final,950,48000
I0221-current,080012,2023,2,2024-06-15,final,2843,65500
I0128-wrong_year,LEG-050009,2022,99,2024-06-15,final,3124,42500
I0012-current,010013,2023,2,2024-06-15,final,1496,24500
I0005-wrong_year,010006,2022,99,2024-06-15,final,915,25500
I0063-wrong_year,030004,2022,99,2024-06-15,final,1729,34500
I0190-not_final,070011,2023,8,2024-06-15,provisional,4270,53000
I0026-wrong_year,010027,2022,99,2024-06-15,final,2658,22500
I0037-wrong_year,020008,2022,99,2024-06-15,final,3571,27500
I0218-wrong_year,080009,2022,99,2024-06-15,final,2594,53500
I0027-wrong_year,010028,2022,99,2024-06-15,final,2741,26500
I0050-after_cutoff,020021,2023,9,2024-07-01,final,650,36000
I0147-wrong_year,050028,2022,99,2024-06-15,final,701,46000
I0160-wrong_year,LEG-060011,2022,99,2024-06-15,final,1780,44500
I0062-current,030003,2023,2,2024-06-15,final,1646,30500
I0234-current,080025,2023,2,2024-06-15,final,3922,59500
I0197-wrong_year,070018,2022,99,2024-06-15,final,851,52000
i-880001,880001,2023,2,2024-06-15,final,0,20000
I0040-after_cutoff,LEG-020011,2023,9,2024-07-01,final,3820,25000
I0212-superseded,080003,2023,1,2024-01-01,final,2096,999999
I0200-wrong_year,LEG-070021,2022,99,2024-06-15,final,1100,49500
I0156-current,060007,2023,2,2024-06-15,final,1448,43000
I0048-wrong_year,LEG-020019,2022,99,2024-06-15,final,4484,28000
I0103-current,040014,2023,2,2024-06-15,final,1049,39500
I0180-superseded,070001,2023,1,2024-01-01,final,3440,999999
I0122-wrong_year,050003,2022,99,2024-06-15,final,2626,47500
I0042-wrong_year,020013,2022,99,2024-06-15,final,3986,33000
I0077-current,030018,2023,2,2024-06-15,final,2891,32500
I0025-current,010026,2023,2,2024-06-15,final,2575,33000
I0220-current,080011,2023,2,2024-06-15,final,2760,61500
I0011-current,010012,2023,2,2024-06-15,final,1413,20500
I0108-wrong_year,040019,2022,99,2024-06-15,final,1464,45000
I0009-current,010010,2023,2,2024-06-15,final,1247,27000
I0215-current,080006,2023,2,2024-06-15,final,2345,56000
I0219-current,080010,2023,2,2024-06-15,final,2677,57500
I0086-wrong_year,030027,2022,99,2024-06-15,final,3638,39500
I0218-current,080009,2023,2,2024-06-15,final,2594,53500
I0219-wrong_year,080010,2022,99,2024-06-15,final,2677,57500
I0187-wrong_year,070008,2022,99,2024-06-15,final,4021,55500
I0079-current,030020,2023,2,2024-06-15,final,3057,40500
I0168-superseded,LEG-060019,2023,1,2024-01-01,final,2444,999999
I0209-current,070030,2023,2,2024-06-15,final,1847,56500
I0080-current,LEG-030021,2023,2,2024-06-15,final,3140,30000
I0159-current,060010,2023,2,2024-06-15,final,1697,55000
I0181-current,070002,2023,2,2024-06-15,final,3523,60500
I0221-wrong_year,080012,2022,99,2024-06-15,final,2843,65500
I0021-current,010022,2023,2,2024-06-15,final,2243,31500
I0217-wrong_year,080008,2022,99,2024-06-15,final,2511,64000
I0053-wrong_year,020024,2022,99,2024-06-15,final,899,33500
I0056-wrong_year,LEG-020027,2022,99,2024-06-15,final,1148,31000
I0012-wrong_year,010013,2022,99,2024-06-15,final,1496,24500
I0033-current,020004,2023,2,2024-06-15,final,3239,26000
I0145-current,050026,2023,2,2024-06-15,final,535,38000
I0127-current,050008,2023,2,2024-06-15,final,3041,38500
I0005-current,010006,2023,2,2024-06-15,final,915,25500
I0153-current,060004,2023,2,2024-06-15,final,1199,45500
I0224-wrong_year,LEG-080015,2022,99,2024-06-15,final,3092,63000
I0193-current,070014,2023,2,2024-06-15,final,519,50500
I0181-wrong_year,070002,2022,99,2024-06-15,final,3523,60500
I0000-wrong_year,LEG-010001,2022,99,2024-06-15,final,0,20000
I0106-current,040017,2023,2,2024-06-15,final,1298,37000
I0050-wrong_year,020021,2022,99,2024-06-15,final,650,36000
I0203-current,070024,2023,2,2024-06-15,final,1349,47000
I0140-after_cutoff,050021,2023,9,2024-07-01,final,4120,47000
I0078-wrong_year,030019,2022,99,2024-06-15,final,2974,36500
I0210-not_final,080001,2023,8,2024-06-15,provisional,1930,65000
I0119-wrong_year,040030,2022,99,2024-06-15,final,2377,45500
I0122-current,050003,2023,2,2024-06-15,final,2626,47500
I0213-current,080004,2023,2,2024-06-15,final,2179,62500
I0040-superseded,LEG-020011,2023,1,2024-01-01,final,3820,999999
I0099-current,040010,2023,2,2024-06-15,final,717,38000
I0089-wrong_year,030030,2022,99,2024-06-15,final,3887,37000
I0075-current,030016,2023,2,2024-06-15,final,2725,39000
I0081-wrong_year,030022,2022,99,2024-06-15,final,3223,34000
I0020-current,010021,2023,2,2024-06-15,final,2160,27500
I0138-current,050019,2023,2,2024-06-15,final,3954,39000
I0192-wrong_year,LEG-070013,2022,99,2024-06-15,final,4436,61000
I0034-wrong_year,020005,2022,99,2024-06-15,final,3322,30000
I0230-not_final,080021,2023,8,2024-06-15,provisional,3590,58000
I0023-current,010024,2023,2,2024-06-15,final,2409,25000
I0172-current,060023,2023,2,2024-06-15,final,2776,49000
I0220-superseded,080011,2023,1,2024-01-01,final,2760,999999
i-990008,990008,2023,2,2024-06-15,final,0,20000
I0061-wrong_year,030002,2022,99,2024-06-15,final,1563,41000
I0013-current,010014,2023,2,2024-06-15,final,1579,28500
I0032-wrong_year,LEG-020003,2022,99,2024-06-15,final,3156,36500
I0065-wrong_year,030006,2022,99,2024-06-15,final,1895,42500
I0044-wrong_year,020015,2022,99,2024-06-15,final,4152,26500
I0045-current,020016,2023,2,2024-06-15,final,4235,30500
I0190-wrong_year,070011,2022,99,2024-06-15,final,4270,53000
I0066-current,030007,2023,2,2024-06-15,final,1978,32000
I0110-current,040021,2023,2,2024-06-15,final,1630,38500
I0003-wrong_year,010004,2022,99,2024-06-15,final,749,32000
I0101-wrong_year,040012,2022,99,2024-06-15,final,883,46000
I0225-current,080016,2023,2,2024-06-15,final,3175,52500
I0040-current,LEG-020011,2023,2,2024-06-15,final,3820,25000
I0160-not_final,LEG-060011,2023,8,2024-06-15,provisional,1780,44500
I0216-wrong_year,LEG-080007,2022,99,2024-06-15,final,2428,60000
I0207-current,070028,2023,2,2024-06-15,final,1681,48500
I0089-current,030030,2023,2,2024-06-15,final,3887,37000
I0039-wrong_year,020010,2022,99,2024-06-15,final,3737,35500
I0046-current,020017,2023,2,2024-06-15,final,4318,34500
I0015-current,010016,2023,2,2024-06-15,final,1745,22000
I0130-not_final,050011,2023,8,2024-06-15,provisional,3290,50500
I0127-wrong_year,050008,2022,99,2024-06-15,final,3041,38500
I0239-wrong_year,080030,2022,99,2024-06-15,final,4337,65000
I0123-current,050004,2023,2,2024-06-15,final,2709,51500
I0211-wrong_year,080002,2022,99,2024-06-15,final,2013,54500
I0105-current,040016,2023,2,2024-06-15,final,1215,47500
I0167-wrong_year,060018,2022,99,2024-06-15,final,2361,43500
I0222-wrong_year,080013,2022,99,2024-06-15,final,2926,55000
I0140-not_final,050021,2023,8,2024-06-15,provisional,4120,47000
I0170-not_final,060021,2023,8,2024-06-15,provisional,2610,55500
I0182-current,070003,2023,2,2024-06-15,final,3606,50000
I0074-wrong_year,030015,2022,99,2024-06-15,final,2642,35000
I0191-current,070012,2023,2,2024-06-15,final,4353,57000
I0120-after_cutoff,LEG-050001,2023,9,2024-07-01,final,2460,39500
I0096-wrong_year,LEG-040007,2022,99,2024-06-15,final,4468,40500
I0178-wrong_year,060029,2022,99,2024-06-15,final,3274,44000
I0177-wrong_year,060028,2022,99,2024-06-15,final,3191,54500
I0073-current,030014,2023,2,2024-06-15,final,2559,31000
I0080-wrong_year,LEG-030021,2022,99,2024-06-15,final,3140,30000
I0051-wrong_year,020022,2022,99,2024-06-15,final,733,25500
i-990001,990001,2023,2,2024-06-15,final,0,20000
I0235-current,080026,2023,2,2024-06-15,final,0,63500
I0006-wrong_year,010007,2022,99,2024-06-15,final,998,29500
I0020-wrong_year,010021,2022,99,2024-06-15,final,2160,27500
I0050-current,020021,2023,2,2024-06-15,final,650,36000
I0018-current,010019,2023,2,2024-06-15,final,1994,34000
I0008-current,LEG-010009,2023,2,2024-06-15,final,1164,23000
I0174-current,060025,2023,2,2024-06-15,final,2942,42500
I0223-current,080014,2023,2,2024-06-15,final,3009,59000
I0151-current,060002,2023,2,2024-06-15,final,1033,52000
I0217-current,080008,2023,2,2024-06-15,final,2511,64000
I0227-wrong_year,080018,2022,99,2024-06-15,final,3341,60500
I0119-current,040030,2023,2,2024-06-15,final,2377,45500
I0174-wrong_year,060025,2022,99,2024-06-15,final,2942,42500
I0052-wrong_year,020023,2022,99,2024-06-15,final,816,29500
I0069-wrong_year,030010,2022,99,2024-06-15,final,2227,29500
I0224-current,LEG-080015,2023,2,2024-06-15,final,3092,63000
I0147-current,050028,2023,2,2024-06-15,final,701,46000
I0220-wrong_year,080011,2022,99,2024-06-15,final,2760,61500
I0128-superseded,LEG-050009,2023,1,2024-01-01,final,3124,999999
I0210-after_cutoff,080001,2023,9,2024-07-01,final,1930,65000
I0236-wrong_year,080027,2022,99,2024-06-15,final,4088,53000
I0162-current,060013,2023,2,2024-06-15,final,1946,52500
I0124-superseded,050005,2023,1,2024-01-01,final,2792,999999
I0084-current,030025,2023,2,2024-06-15,final,3472,31500
I0141-wrong_year,050022,2022,99,2024-06-15,final,0,51000
I0234-wrong_year,080025,2022,99,2024-06-15,final,3922,59500
I0091-current,040002,2023,2,2024-06-15,final,4053,35000
I0091-wrong_year,040002,2022,99,2024-06-15,final,4053,35000
I0201-wrong_year,070022,2022,99,2024-06-15,final,1183,53500
I0076-wrong_year,030017,2022,99,2024-06-15,final,2808,43000
I0101-current,040012,2023,2,2024-06-15,final,883,46000
I0170-wrong_year,060021,2022,99,2024-06-15,final,2610,55500
I0148-current,050029,2023,2,2024-06-15,final,784,50000
I0184-current,LEG-070005,2023,2,2024-06-15,final,3772,58000
I0126-current,050007,2023,2,2024-06-15,final,2958,49000
I0028-current,010029,2023,2,2024-06-15,final,2824,30500
I0092-wrong_year,040003,2022,99,2024-06-15,final,4136,39000
I0096-current,LEG-040007,2023,2,2024-06-15,final,4468,40500
I0041-current,020012,2023,2,2024-06-15,final,3903,29000
I0020-after_cutoff,010021,2023,9,2024-07-01,final,2160,27500
I0141-current,050022,2023,2,2024-06-15,final,0,51000
I0007-current,010008,2023,2,2024-06-15,final,1081,33500
I0153-wrong_year,060004,2022,99,2024-06-15,final,1199,45500
I0160-current,LEG-060011,2023,2,2024-06-15,final,1780,44500
I0060-superseded,030001,2023,1,2024-01-01,final,1480,999999
I0133-wrong_year,050014,2022,99,2024-06-15,final,3539,48000
I0208-superseded,LEG-070029,2023,1,2024-01-01,final,1764,999999
I0000-current,LEG-010001,2023,2,2024-06-15,final,0,20000
I0022-wrong_year,010023,2022,99,2024-06-15,final,2326,21000
I0126-wrong_year,050007,2022,99,2024-06-15,final,2958,49000
I0205-wrong_year,070026,2022,99,2024-06-15,final,1515,55000
I0177-current,060028,2023,2,2024-06-15,final,3191,54500
I0185-wrong_year,070006,2022,99,2024-06-15,final,3855,47500
I0123-wrong_year,050004,2022,99,2024-06-15,final,2709,51500
I0117-wrong_year,040028,2022,99,2024-06-15,final,2211,37500
I0038-current,020009,2023,2,2024-06-15,final,3654,31500
I0025-wrong_year,010026,2022,99,2024-06-15,final,2575,33000
I0095-wrong_year,040006,2022,99,2024-06-15,final,4385,36500
I0046-wrong_year,020017,2022,99,2024-06-15,final,4318,34500
I0121-current,050002,2023,2,2024-06-15,final,2543,43500
I0090-current,040001,2023,2,2024-06-15,final,3970,45500
I0222-current,080013,2023,2,2024-06-15,final,2926,55000
I0102-current,040013,2023,2,2024-06-15,final,966,35500
i-880002,880002,2023,2,2024-06-15,final,0,20000
I0110-wrong_year,040021,2022,99,2024-06-15,final,1630,38500
I0155-wrong_year,060006,2022,99,2024-06-15,final,1365,53500
I0073-wrong_year,030014,2022,99,2024-06-15,final,2559,31000
I0039-current,020010,2023,2,2024-06-15,final,3737,35500
I0168-wrong_year,LEG-060019,2022,99,2024-06-15,final,2444,47500
I0090-after_cutoff,040001,2023,9,2024-07-01,final,3970,45500
I0108-current,040019,2023,2,2024-06-15,final,1464,45000
I0050-not_final,020021,2023,8,2024-06-15,provisional,650,36000
I0134-current,050015,2023,2,2024-06-15,final,3622,52000
I0216-superseded,LEG-080007,2023,1,2024-01-01,final,2428,999999
I0024-superseded,LEG-010025,2023,1,2024-01-01,final,2492,999999
I0231-wrong_year,080022,2022,99,2024-06-15,final,3673,62000
i-990006,990006,2023,2,2024-06-15,final,0,20000
I0038-wrong_year,020009,2022,99,2024-06-15,final,3654,31500
I0016-wrong_year,LEG-010017,2022,99,2024-06-15,final,1828,26000
I0212-current,080003,2023,2,2024-06-15,final,2096,58500
I0200-current,LEG-070021,2023,2,2024-06-15,final,1100,49500
I0098-wrong_year,040009,2022,99,2024-06-15,final,634,34000
I0144-superseded,LEG-050025,2023,1,2024-01-01,final,4452,999999
I0156-wrong_year,060007,2022,99,2024-06-15,final,1448,43000
I0199-wrong_year,070020,2022,99,2024-06-15,final,1017,60000
I0232-current,LEG-080023,2023,2,2024-06-15,final,3756,51500
I0184-superseded,LEG-070005,2023,1,2024-01-01,final,3772,999999
I0190-after_cutoff,070011,2023,9,2024-07-01,final,4270,53000
I0088-current,LEG-030029,2023,2,2024-06-15,final,3804,33000
I0076-superseded,030017,2023,1,2024-01-01,final,2808,999999
I0072-current,LEG-030013,2023,2,2024-06-15,final,2476,41500
I0207-wrong_year,070028,2022,99,2024-06-15,final,1681,48500
I0112-superseded,LEG-040023,2023,1,2024-01-01,final,1796,999999
I0144-wrong_year,LEG-050025,2022,99,2024-06-15,final,4452,48500
I0133-current,050014,2023,2,2024-06-15,final,3539,48000
I0208-wrong_year,LEG-070029,2022,99,2024-06-15,final,1764,52500
I0070-current,030011,2023,2,2024-06-15,final,2310,33500
I0197-current,070018,2023,2,2024-06-15,final,851,52000
I0164-superseded,060015,2023,1,2024-01-01,final,2112,999999
I0062-wrong_year,030003,2022,99,2024-06-15,final,1646,30500
I0011-wrong_year,010012,2022,99,2024-06-15,final,1413,20500
I0229-wrong_year,080020,2022,99,2024-06-15,final,3507,54000
I0100-after_cutoff,040011,2023,9,2024-07-01,final,800,42000
I0034-current,020005,2023,2,2024-06-15,final,3322,30000
I0173-current,060024,2023,2,2024-06-15,final,2859,53000
I0230-wrong_year,080021,2022,99,2024-06-15,final,3590,58000
I0188-current,070009,2023,2,2024-06-15,final,0,59500
I0077-wrong_year,030018,2022,99,2024-06-15,final,2891,32500
I0150-current,060001,2023,2,2024-06-15,final,950,48000
I0180-after_cutoff,070001,2023,9,2024-07-01,final,3440,56500
I0060-wrong_year,030001,2022,99,2024-06-15,final,1480,37000
I0179-current,060030,2023,2,2024-06-15,final,3357,48000
I0175-current,060026,2023,2,2024-06-15,final,3025,46500
i-990003,990003,2023,2,2024-06-15,final,0,20000
I0132-wrong_year,050013,2022,99,2024-06-15,final,3456,44000
I0180-current,070001,2023,2,2024-06-15,final,3440,56500
I0157-current,060008,2023,2,2024-06-15,final,1531,47000
I0192-superseded,LEG-070013,2023,1,2024-01-01,final,4436,999999
I0016-superseded,LEG-010017,2023,1,2024-01-01,final,1828,999999
I0158-current,060009,2023,2,2024-06-15,final,1614,51000
I0056-superseded,LEG-020027,2023,1,2024-01-01,final,1148,999999
I0137-wrong_year,050018,2022,99,2024-06-15,final,3871,49500
I0055-wrong_year,020026,2022,99,2024-06-15,final,1065,27000
I0107-current,040018,2023,2,2024-06-15,final,1381,41000
I0045-wrong_year,020016,2022,99,2024-06-15,final,4235,30500
I0071-wrong_year,030012,2022,99,2024-06-15,final,2393,37500
I0113-current,040024,2023,2,2024-06-15,final,1879,36000
I0051-current,020022,2023,2,2024-06-15,final,733,25500
I0070-not_final,030011,2023,8,2024-06-15,provisional,2310,33500
I0166-wrong_year,060017,2022,99,2024-06-15,final,2278,54000
I0129-current,050010,2023,2,2024-06-15,final,3207,46500
I0000-not_final,LEG-010001,2023,8,2024-06-15,provisional,0,20000
I0120-not_final,LEG-050001,2023,8,2024-06-15,provisional,2460,39500
i-990005,990005,2023,2,2024-06-15,final,0,20000
I0031-wrong_year,020002,2022,99,2024-06-15,final,3073,32500
I0236-current,080027,2023,2,2024-06-15,final,4088,53000
I0184-wrong_year,LEG-070005,2022,99,2024-06-15,final,3772,58000
I0120-superseded,LEG-050001,2023,1,2024-01-01,final,2460,999999
I0180-wrong_year,070001,2022,99,2024-06-15,final,3440,56500
I0031-current,020002,2023,2,2024-06-15,final,3073,32500
I0136-superseded,LEG-050017,2023,1,2024-01-01,final,3788,999999
i-880003,880003,2023,2,2024-06-15,final,0,20000
I0169-wrong_year,060020,2022,99,2024-06-15,final,2527,51500
I0198-current,070019,2023,2,2024-06-15,final,934,56000
I0004-wrong_year,010005,2022,99,2024-06-15,final,832,21500
I0145-wrong_year,050026,2022,99,2024-06-15,final,535,38000
I0163-current,060014,2023,2,2024-06-15,final,2029,56500
I0131-current,050012,2023,2,2024-06-15,final,3373,40000
I0128-current,LEG-050009,2023,2,2024-06-15,final,3124,42500
I0028-superseded,010029,2023,1,2024-01-01,final,2824,999999
I0004-superseded,010005,2023,1,2024-01-01,final,832,999999
I0030-not_final,020001,2023,8,2024-06-15,provisional,2990,28500
I0106-wrong_year,040017,2022,99,2024-06-15,final,1298,37000
I0081-current,030022,2023,2,2024-06-15,final,3223,34000
I0024-wrong_year,LEG-010025,2022,99,2024-06-15,final,2492,29000
I0111-current,040022,2023,2,2024-06-15,final,1713,42500
I0029-wrong_year,010030,2022,99,2024-06-15,final,2907,20000
I0114-current,040025,2023,2,2024-06-15,final,1962,40000
I0124-current,050005,2023,2,2024-06-15,final,2792,41000
I0155-current,060006,2023,2,2024-06-15,final,1365,53500
I0163-wrong_year,060014,2022,99,2024-06-15,final,2029,56500
I0088-wrong_year,LEG-030029,2022,99,2024-06-15,final,3804,33000
I0195-current,070016,2023,2,2024-06-15,final,685,58500
I0213-wrong_year,080004,2022,99,2024-06-15,final,2179,62500
I0237-current,080028,2023,2,2024-06-15,final,4171,57000
I0056-current,LEG-020027,2023,2,2024-06-15,final,1148,31000
I0109-wrong_year,040020,2022,99,2024-06-15,final,1547,34500
I0057-current,020028,2023,2,2024-06-15,final,1231,35000
I0066-wrong_year,030007,2022,99,2024-06-15,final,1978,32000
I0100-current,040011,2023,2,2024-06-15,final,800,42000
I0064-superseded,LEG-030005,2023,1,2024-01-01,final,1812,999999
I0185-current,070006,2023,2,2024-06-15,final,3855,47500
I0189-wrong_year,070010,2022,99,2024-06-15,final,4187,49000
I0143-wrong_year,050024,2022,99,2024-06-15,final,4369,44500
I0159-wrong_year,060010,2022,99,2024-06-15,final,1697,55000
I0010-after_cutoff,010011,2023,9,2024-07-01,final,1330,31000
I0084-superseded,030025,2023,1,2024-01-01,final,3472,999999
I0140-current,050021,2023,2,2024-06-15,final,4120,47000
I0188-wrong_year,070009,2022,99,2024-06-15,final,0,59500
