region_code,region_name,state,active
080029,Distrito 29,Horizonte,1
080030,Distrito 30,Horizonte,1
990001,Retired,Aurora,0
990002,Retired,Boreal,0
990003,Retired,Cedro,0
990004,Retired,Duna,0
990005,Retired,Estrela,0
990006,Retired,Foz,0
990007,Retired,Granito,0
990008,Retired,Horizonte,0
