record_id,region_code,year,revision,published_at,status,men,women,population
P0025-current,010026,2023,2,2024-06-15,final,4425,5575,10000
P0088-superseded,LEG-030029,2023,1,2024-01-01,final,999999,7332,10868
P0068-current,030009,2023,2,2024-06-15,final,8596,4552,13148
P0182-current,070003,2023,2,2024-06-15,final,5654,6398,?
P0044-superseded,020015,2023,1,2024-01-01,final,999999,8216,14484
P0132-superseded,050013,2023,1,2024-01-01,final,999999,6448,14252
P0032-superseded,LEG-020003,2023,1,2024-01-01,final,999999,6548,11652
P0142-wrong_year,050023,2022,99,2024-06-15,final,8774,7838,16612
P0213-wrong_year,080004,2022,99,2024-06-15,final,8661,3707,12368
P0181-current,070002,2023,2,2024-06-15,final,5557,?,11816
P0012-superseded,010013,2023,1,2024-01-01,final,999999,3768,6932
P0084-superseded,030025,2023,1,2024-01-01,final,999999,6776,9924
P0081-current,030022,2023,2,2024-06-15,final,2857,6359,9216
P0156-wrong_year,060007,2022,99,2024-06-15,final,3132,2784,5916
P0024-wrong_year,LEG-010025,2022,99,2024-06-15,final,4328,5436,9764
P0181-wrong_year,070002,2022,99,2024-06-15,final,5557,6259,11816
P0033-wrong_year,020004,2022,99,2024-06-15,final,5201,6687,11888
P0099-wrong_year,040010,2022,99,2024-06-15,final,4603,8861,13464
P0063-current,030004,2023,2,2024-06-15,final,8111,3857,11968
P0234-wrong_year,080025,2022,99,2024-06-15,final,3698,6626,10324
P0190-wrong_year,070011,2022,99,2024-06-15,final,6430,7510,13940
P0116-current,040027,2023,2,2024-06-15,final,6252,4224,10476
P0010-current,010011,2023,2,2024-06-15,final,2970,3490,6460
P0050-wrong_year,020021,2022,99,2024-06-15,final,6850,9050,15900
P0207-current,070028,2023,2,2024-06-15,final,8079,2873,10952
P0183-current,070004,2023,2,2024-06-15,final,5751,6537,12288
P0000-wrong_year,LEG-010001,2022,99,2024-06-15,final,2000,2100,4100
P0038-wrong_year,020009,2022,99,2024-06-15,final,5686,7382,13068
P0050-after_cutoff,020021,2023,9,2024-07-01,final,6850,9050,15900
P0112-superseded,LEG-040023,2023,1,2024-01-01,final,999999,3668,9532
P0236-superseded,080027,2023,1,2024-01-01,final,999999,6904,10796
P0176-superseded,LEG-060027,2023,1,2024-01-01,final,999999,5564,10636
P0136-current,LEG-050017,2023,2,2024-06-15,final,8192,?,15196
P0040-superseded,LEG-020011,2023,1,2024-01-01,final,999999,7660,13540
P0107-current,040018,2023,2,2024-06-15,final,5379,2973,?
P0099-current,040010,2023,2,2024-06-15,final,4603,8861,13464
P0089-current,030030,2023,2,2024-06-15,final,3633,7471,11104
P0232-current,LEG-080023,2023,2,2024-06-15,final,3504,6348,9852
P0206-wrong_year,070027,2022,99,2024-06-15,final,7982,2734,10716
P0023-current,010024,2023,2,2024-06-15,final,4231,5297,9528
P0224-current,LEG-080015,2023,2,2024-06-15,final,2728,5236,7964
P0113-current,040024,2023,2,2024-06-15,final,5961,3807,9768
P0156-superseded,060007,2023,1,2024-01-01,final,999999,2784,5916
P0058-current,020029,2023,2,2024-06-15,final,7626,3162,10788
P0220-not_final,080011,2023,8,2024-06-15,provisional,2340,4680,7020
P0106-current,040017,2023,2,2024-06-15,final,5282,?,8116
P0192-current,LEG-070013,2023,2,2024-06-15,final,6624,7788,14412
p-880003,880003,2023,2,2024-06-15,final,?,2100,4100
P0095-wrong_year,040006,2022,99,2024-06-15,final,4215,8305,12520
P0157-wrong_year,060008,2022,99,2024-06-15,final,3229,2923,6152
P0098-current,040009,2023,2,2024-06-15,final,4506,8722,13228
P0091-current,040002,2023,2,2024-06-15,final,3827,?,11576
P0139-wrong_year,050020,2022,99,2024-06-15,final,8483,7421,15904
P0092-wrong_year,040003,2022,99,2024-06-15,final,3924,7888,11812
P0146-wrong_year,050027,2022,99,2024-06-15,final,2162,8394,10556
P0000-current,LEG-010001,2023,2,2024-06-15,final,?,2100,4100
P0230-after_cutoff,080021,2023,9,2024-07-01,final,3310,6070,9380
P0047-wrong_year,020018,2022,99,2024-06-15,final,6559,8633,15192
P0167-current,060018,2023,2,2024-06-15,final,4199,4313,?
P0045-wrong_year,020016,2022,99,2024-06-15,final,6365,8355,14720
P0039-wrong_year,020010,2022,99,2024-06-15,final,5783,7521,13304
P0036-superseded,020007,2023,1,2024-01-01,final,999999,7104,12596
P0070-wrong_year,030011,2022,99,2024-06-15,final,8790,4830,13620
P0105-wrong_year,040016,2022,99,2024-06-15,final,5185,2695,7880
P0015-wrong_year,010016,2022,99,2024-06-15,final,3455,4185,7640
P0229-wrong_year,080020,2022,99,2024-06-15,final,3213,5931,9144
P0237-wrong_year,080028,2022,99,2024-06-15,final,3989,7043,11032
P0155-wrong_year,060006,2022,99,2024-06-15,final,3035,2645,5680
P0041-wrong_year,020012,2022,99,2024-06-15,final,5977,7799,13776
P0020-wrong_year,010021,2022,99,2024-06-15,final,3940,4880,8820
P0074-current,030015,2023,2,2024-06-15,final,2178,5386,7564
P0210-after_cutoff,080001,2023,9,2024-07-01,final,8370,3290,11660
P0186-current,070007,2023,2,2024-06-15,final,6042,6954,12996
P0010-not_final,010011,2023,8,2024-06-15,provisional,2970,3490,6460
P0154-current,060005,2023,2,2024-06-15,final,2938,2506,5444
P0154-wrong_year,060005,2022,99,2024-06-15,final,2938,2506,5444
P0027-wrong_year,010028,2022,99,2024-06-15,final,4619,5853,10472
P0190-current,070011,2023,2,2024-06-15,final,6430,7510,13940
P0217-current,080008,2023,2,2024-06-15,final,2049,4263,6312
P0171-wrong_year,060022,2022,99,2024-06-15,final,4587,4869,9456
P0212-superseded,080003,2023,1,2024-01-01,final,999999,3568,12132
P0150-after_cutoff,060001,2023,9,2024-07-01,final,2550,8950,11500
P0016-wrong_year,LEG-010017,2022,99,2024-06-15,final,3552,4324,7876
P0180-superseded,070001,2023,1,2024-01-01,final,999999,6120,11580
P0081-wrong_year,030022,2022,99,2024-06-15,final,2857,6359,9216
P0201-wrong_year,070022,2022,99,2024-06-15,final,7497,9039,16536
P0057-current,020028,2023,2,2024-06-15,final,7529,3023,10552
P0008-current,LEG-010009,2023,2,2024-06-15,final,2776,3212,5988
P0196-wrong_year,070017,2022,99,2024-06-15,final,7012,8344,15356
P0239-current,080030,2023,2,2024-06-15,final,4183,7321,11504
P0084-wrong_year,030025,2022,99,2024-06-15,final,3148,6776,9924
P0209-current,070030,2023,2,2024-06-15,final,8273,3151,11424
P0131-current,050012,2023,2,2024-06-15,final,7707,6309,14016
P0118-current,040029,2023,2,2024-06-15,final,6446,4502,10948
P0149-wrong_year,050030,2022,99,2024-06-15,final,2453,8811,11264
P0073-wrong_year,030014,2022,99,2024-06-15,final,2081,5247,7328
P0159-current,060010,2023,2,2024-06-15,final,3423,3201,6624
P0001-current,010002,2023,2,2024-06-15,final,2097,?,4336
P0228-wrong_year,080019,2022,99,2024-06-15,final,3116,5792,8908
P0080-not_final,LEG-030021,2023,8,2024-06-15,provisional,2760,6220,8980
P0008-superseded,LEG-010009,2023,1,2024-01-01,final,999999,3212,5988
P0102-current,040013,2023,2,2024-06-15,final,4894,2278,7172
P0140-after_cutoff,050021,2023,9,2024-07-01,final,8580,7560,16140
P0197-current,070018,2023,2,2024-06-15,final,7109,8483,?
P0220-wrong_year,080011,2022,99,2024-06-15,final,2340,4680,7020
P0067-current,030008,2023,2,2024-06-15,final,8499,4413,12912
P0196-current,070017,2023,2,2024-06-15,final,7012,?,15356
P0152-superseded,LEG-060003,2023,1,2024-01-01,final,999999,2228,4972
P0011-current,010012,2023,2,2024-06-15,final,3067,3629,6696
P0048-current,LEG-020019,2023,2,2024-06-15,final,6656,8772,15428
P0215-wrong_year,080006,2022,99,2024-06-15,final,8855,3985,12840
P0084-current,030025,2023,2,2024-06-15,final,3148,6776,9924
P0199-current,070020,2023,2,2024-06-15,final,7303,8761,16064
P0215-current,080006,2023,2,2024-06-15,final,8855,3985,12840
p-880002,880002,2023,2,2024-06-15,final,?,2100,4100
P0211-current,080002,2023,2,2024-06-15,final,8467,?,11896
P0148-current,050029,2023,2,2024-06-15,final,2356,8672,11028
P0175-wrong_year,060026,2022,99,2024-06-15,final,4975,5425,10400
P0066-current,030007,2023,2,2024-06-15,final,8402,4274,12676
P0007-current,010008,2023,2,2024-06-15,final,2679,3073,5752
P0221-wrong_year,080012,2022,99,2024-06-15,final,2437,4819,7256
P0188-wrong_year,070009,2022,99,2024-06-15,final,6236,7232,13468
P0152-current,LEG-060003,2023,2,2024-06-15,final,2744,2228,?
P0047-current,020018,2023,2,2024-06-15,final,6559,8633,?
P0130-wrong_year,050011,2022,99,2024-06-15,final,7610,6170,13780
P0168-current,LEG-060019,2023,2,2024-06-15,final,4296,4452,8748
P0028-current,010029,2023,2,2024-06-15,final,4716,5992,10708
P0128-current,LEG-050009,2023,2,2024-06-15,final,7416,5892,13308
P0014-current,010015,2023,2,2024-06-15,final,3358,4046,7404
P0161-current,060012,2023,2,2024-06-15,final,3617,3479,7096
P0202-wrong_year,070023,2022,99,2024-06-15,final,7594,2178,9772
P0133-current,050014,2023,2,2024-06-15,final,7901,6587,14488
P0200-after_cutoff,LEG-070021,2023,9,2024-07-01,final,7400,8900,16300
P0232-wrong_year,LEG-080023,2022,99,2024-06-15,final,3504,6348,9852
P0027-current,010028,2023,2,2024-06-15,final,4619,5853,10472
P0165-wrong_year,060016,2022,99,2024-06-15,final,4005,4035,8040
P0197-wrong_year,070018,2022,99,2024-06-15,final,7109,8483,15592
P0109-wrong_year,040020,2022,99,2024-06-15,final,5573,3251,8824
P0153-current,060004,2023,2,2024-06-15,final,2841,2367,5208
P0239-wrong_year,080030,2022,99,2024-06-15,final,4183,7321,11504
P0016-current,LEG-010017,2023,2,2024-06-15,final,3552,?,7876
P0224-superseded,LEG-080015,2023,1,2024-01-01,final,999999,5236,7964
P0121-current,050002,2023,2,2024-06-15,final,6737,?,11656
P0004-wrong_year,010005,2022,99,2024-06-15,final,2388,2656,5044
P0189-current,070010,2023,2,2024-06-15,final,6333,7371,13704
P0237-current,080028,2023,2,2024-06-15,final,3989,7043,11032
P0069-current,030010,2023,2,2024-06-15,final,8693,4691,13384
P0179-current,060030,2023,2,2024-06-15,final,5363,5981,11344
P0133-wrong_year,050014,2022,99,2024-06-15,final,7901,6587,14488
P0111-wrong_year,040022,2022,99,2024-06-15,final,5767,3529,9296
P0067-wrong_year,030008,2022,99,2024-06-15,final,8499,4413,12912
P0097-current,040008,2023,2,2024-06-15,final,4409,8583,12992
P0195-current,070016,2023,2,2024-06-15,final,?,8205,15120
P0117-wrong_year,040028,2022,99,2024-06-15,final,6349,4363,10712
P0034-current,020005,2023,2,2024-06-15,final,5298,6826,12124
P0123-wrong_year,050004,2022,99,2024-06-15,final,6931,5197,12128
P0183-wrong_year,070004,2022,99,2024-06-15,final,5751,6537,12288
P0136-superseded,LEG-050017,2023,1,2024-01-01,final,999999,7004,15196
P0114-wrong_year,040025,2022,99,2024-06-15,final,6058,3946,10004
P0049-current,020020,2023,2,2024-06-15,final,6753,8911,15664
P0086-current,030027,2023,2,2024-06-15,final,3342,7054,10396
P0103-wrong_year,040014,2022,99,2024-06-15,final,4991,2417,7408
P0173-current,060024,2023,2,2024-06-15,final,4781,5147,9928
P0086-wrong_year,030027,2022,99,2024-06-15,final,3342,7054,10396
P0073-current,030014,2023,2,2024-06-15,final,2081,5247,7328
P0147-current,050028,2023,2,2024-06-15,final,2259,8533,10792
P0069-wrong_year,030010,2022,99,2024-06-15,final,8693,4691,13384
P0173-wrong_year,060024,2022,99,2024-06-15,final,4781,5147,9928
P0123-current,050004,2023,2,2024-06-15,final,6931,5197,12128
P0227-current,080018,2023,2,2024-06-15,final,3019,5653,?
P0121-wrong_year,050002,2022,99,2024-06-15,final,6737,4919,11656
P0227-wrong_year,080018,2022,99,2024-06-15,final,3019,5653,8672
P0158-current,060009,2023,2,2024-06-15,final,3326,3062,6388
P0094-wrong_year,040005,2022,99,2024-06-15,final,4118,8166,12284
P0083-wrong_year,030024,2022,99,2024-06-15,final,3051,6637,9688
P0195-wrong_year,070016,2022,99,2024-06-15,final,6915,8205,15120
P0218-current,080009,2023,2,2024-06-15,final,2146,4402,6548
P0235-wrong_year,080026,2022,99,2024-06-15,final,3795,6765,10560
P0054-wrong_year,020025,2022,99,2024-06-15,final,7238,2606,9844
P0205-current,070026,2023,2,2024-06-15,final,7885,2595,10480
P0145-current,050026,2023,2,2024-06-15,final,2065,8255,10320
P0077-current,030018,2023,2,2024-06-15,final,2469,5803,?
P0000-superseded,LEG-010001,2023,1,2024-01-01,final,999999,2100,4100
P0005-current,010006,2023,2,2024-06-15,final,2485,2795,5280
P0059-current,020030,2023,2,2024-06-15,final,7723,3301,11024
P0203-current,070024,2023,2,2024-06-15,final,7691,2317,10008
P0004-current,010005,2023,2,2024-06-15,final,2388,2656,5044
p-880007,880007,2023,2,2024-06-15,final,?,2100,4100
P0238-current,080029,2023,2,2024-06-15,final,4086,7182,11268
P0052-current,020023,2023,2,2024-06-15,final,7044,2328,9372
P0096-superseded,LEG-040007,2023,1,2024-01-01,final,999999,8444,12756
P0080-superseded,LEG-030021,2023,1,2024-01-01,final,999999,6220,8980
P0012-wrong_year,010013,2022,99,2024-06-15,final,3164,3768,6932
P0207-wrong_year,070028,2022,99,2024-06-15,final,8079,2873,10952
P0140-superseded,050021,2023,1,2024-01-01,final,999999,7560,16140
P0060-current,030001,2023,2,2024-06-15,final,?,3440,11260
P0164-superseded,060015,2023,1,2024-01-01,final,999999,3896,7804
P0104-superseded,LEG-040015,2023,1,2024-01-01,final,999999,2556,7644
P0035-wrong_year,020006,2022,99,2024-06-15,final,5395,6965,12360
P0048-superseded,LEG-020019,2023,1,2024-01-01,final,999999,8772,15428
P0163-current,060014,2023,2,2024-06-15,final,3811,3757,7568
P0011-wrong_year,010012,2022,99,2024-06-15,final,3067,3629,6696
P0137-current,050018,2023,2,2024-06-15,final,8289,7143,?
P0044-wrong_year,020015,2022,99,2024-06-15,final,6268,8216,14484
P0160-wrong_year,LEG-060011,2022,99,2024-06-15,final,3520,3340,6860
P0023-wrong_year,010024,2022,99,2024-06-15,final,4231,5297,9528
P0030-not_final,020001,2023,8,2024-06-15,provisional,4910,6270,11180
P0168-superseded,LEG-060019,2023,1,2024-01-01,final,999999,4452,8748
P0002-wrong_year,010003,2022,99,2024-06-15,final,2194,2378,4572
P0170-wrong_year,060021,2022,99,2024-06-15,final,4490,4730,9220
P0031-wrong_year,020002,2022,99,2024-06-15,final,5007,6409,11416
P0160-current,LEG-060011,2023,2,2024-06-15,final,3520,3340,6860
P0082-current,030023,2023,2,2024-06-15,final,2954,6498,9452
P0013-current,010014,2023,2,2024-06-15,final,3261,3907,7168
P0048-wrong_year,LEG-020019,2022,99,2024-06-15,final,6656,8772,15428
P0230-wrong_year,080021,2022,99,2024-06-15,final,3310,6070,9380
P0088-wrong_year,LEG-030029,2022,99,2024-06-15,final,3536,7332,10868
P0124-current,050005,2023,2,2024-06-15,final,7028,5336,12364
p-990006,990006,2023,2,2024-06-15,final,?,2100,4100
P0093-wrong_year,040004,2022,99,2024-06-15,final,4021,8027,12048
P0180-current,070001,2023,2,2024-06-15,final,?,6120,11580
P0110-not_final,040021,2023,8,2024-06-15,provisional,5670,3390,9060
P0184-superseded,LEG-070005,2023,1,2024-01-01,final,999999,6676,12524
P0018-current,010019,2023,2,2024-06-15,final,3746,4602,8348
P0120-current,LEG-050001,2023,2,2024-06-15,final,?,4780,11420
P0160-superseded,LEG-060011,2023,1,2024-01-01,final,999999,3340,6860
P0001-wrong_year,010002,2022,99,2024-06-15,final,2097,2239,4336
P0061-current,030002,2023,2,2024-06-15,final,7917,?,11496
P0179-wrong_year,060030,2022,99,2024-06-15,final,5363,5981,11344
P0162-current,060013,2023,2,2024-06-15,final,3714,3618,7332
P0036-current,020007,2023,2,2024-06-15,final,5492,7104,12596
P0177-wrong_year,060028,2022,99,2024-06-15,final,5169,5703,10872
P0070-after_cutoff,030011,2023,9,2024-07-01,final,8790,4830,13620
P0064-superseded,LEG-030005,2023,1,2024-01-01,final,999999,3996,12204
P0220-current,080011,2023,2,2024-06-15,final,2340,4680,7020
P0049-wrong_year,020020,2022,99,2024-06-15,final,6753,8911,15664
P0046-wrong_year,020017,2022,99,2024-06-15,final,6462,8494,14956
P0200-not_final,LEG-070021,2023,8,2024-06-15,provisional,7400,8900,16300
P0076-current,030017,2023,2,2024-06-15,final,2372,?,8036
p-880001,880001,2023,2,2024-06-15,final,?,2100,4100
P0016-superseded,LEG-010017,2023,1,2024-01-01,final,999999,4324,7876
P0046-current,020017,2023,2,2024-06-15,final,6462,?,14956
P0037-wrong_year,020008,2022,99,2024-06-15,final,5589,7243,12832
P0108-wrong_year,040019,2022,99,2024-06-15,final,5476,3112,8588
P0070-current,030011,2023,2,2024-06-15,final,8790,4830,13620
p-990003,990003,2023,2,2024-06-15,final,?,2100,4100
P0095-current,040006,2023,2,2024-06-15,final,4215,8305,12520
P0017-current,010018,2023,2,2024-06-15,final,3649,4463,?
P0130-current,050011,2023,2,2024-06-15,final,7610,6170,13780
P0225-current,080016,2023,2,2024-06-15,final,?,5375,8200
P0006-current,010007,2023,2,2024-06-15,final,2582,2934,5516
P0177-current,060028,2023,2,2024-06-15,final,5169,5703,10872
P0170-not_final,060021,2023,8,2024-06-15,provisional,4490,4730,9220
P0090-after_cutoff,040001,2023,9,2024-07-01,final,3730,7610,11340
P0100-not_final,040011,2023,8,2024-06-15,provisional,4700,9000,13700
P0204-wrong_year,070025,2022,99,2024-06-15,final,7788,2456,10244
P0211-wrong_year,080002,2022,99,2024-06-15,final,8467,3429,11896
P0100-current,040011,2023,2,2024-06-15,final,4700,9000,13700
P0126-current,050007,2023,2,2024-06-15,final,7222,5614,12836
P0132-current,050013,2023,2,2024-06-15,final,7804,6448,14252
P0209-wrong_year,070030,2022,99,2024-06-15,final,8273,3151,11424
P0193-wrong_year,070014,2022,99,2024-06-15,final,6721,7927,14648
p-990007,990007,2023,2,2024-06-15,final,?,2100,4100
P0103-current,040014,2023,2,2024-06-15,final,4991,2417,7408
P0119-current,040030,2023,2,2024-06-15,final,6543,4641,11184
P0024-superseded,LEG-010025,2023,1,2024-01-01,final,999999,5436,9764
P0080-current,LEG-030021,2023,2,2024-06-15,final,2760,6220,8980
P0100-superseded,040011,2023,1,2024-01-01,final,999999,9000,13700
P0185-wrong_year,070006,2022,99,2024-06-15,final,5945,6815,12760
P0035-current,020006,2023,2,2024-06-15,final,5395,6965,12360
P0124-superseded,050005,2023,1,2024-01-01,final,999999,5336,12364
P0156-current,060007,2023,2,2024-06-15,final,3132,2784,5916
P0214-current,080005,2023,2,2024-06-15,final,8758,3846,12604
P0075-current,030016,2023,2,2024-06-15,final,?,5525,7800
P0219-current,080010,2023,2,2024-06-15,final,2243,4541,6784
P0231-current,080022,2023,2,2024-06-15,final,3407,6209,9616
P0127-wrong_year,050008,2022,99,2024-06-15,final,7319,5753,13072
P0100-wrong_year,040011,2022,99,2024-06-15,final,4700,9000,13700
P0153-wrong_year,060004,2022,99,2024-06-15,final,2841,2367,5208
P0013-wrong_year,010014,2022,99,2024-06-15,final,3261,3907,7168
P0030-current,020001,2023,2,2024-06-15,final,?,6270,11180
P0051-wrong_year,020022,2022,99,2024-06-15,final,6947,2189,9136
p-880005,880005,2023,2,2024-06-15,final,?,2100,4100
P0068-superseded,030009,2023,1,2024-01-01,final,999999,4552,13148
P0150-current,060001,2023,2,2024-06-15,final,?,8950,11500
P0109-current,040020,2023,2,2024-06-15,final,5573,3251,8824
P0225-wrong_year,080016,2022,99,2024-06-15,final,2825,5375,8200
P0129-current,050010,2023,2,2024-06-15,final,7513,6031,13544
p-990004,990004,2023,2,2024-06-15,final,?,2100,4100
P0071-wrong_year,030012,2022,99,2024-06-15,final,8887,4969,13856
P0129-wrong_year,050010,2022,99,2024-06-15,final,7513,6031,13544
P0040-after_cutoff,LEG-020011,2023,9,2024-07-01,final,5880,7660,13540
P0008-wrong_year,LEG-010009,2022,99,2024-06-15,final,2776,3212,5988
P0015-current,010016,2023,2,2024-06-15,final,?,4185,7640
P0210-current,080001,2023,2,2024-06-15,final,?,3290,11660
P0072-wrong_year,LEG-030013,2022,99,2024-06-15,final,8984,5108,14092
P0104-current,LEG-040015,2023,2,2024-06-15,final,5088,2556,7644
P0161-wrong_year,060012,2022,99,2024-06-15,final,3617,3479,7096
P0236-current,080027,2023,2,2024-06-15,final,3892,6904,10796
P0203-wrong_year,070024,2022,99,2024-06-15,final,7691,2317,10008
P0194-wrong_year,070015,2022,99,2024-06-15,final,6818,8066,14884
P0144-superseded,LEG-050025,2023,1,2024-01-01,final,999999,8116,17084
P0009-current,010010,2023,2,2024-06-15,final,2873,3351,6224
P0037-current,020008,2023,2,2024-06-15,final,5589,7243,12832
P0180-not_final,070001,2023,8,2024-06-15,provisional,5460,6120,11580
P0053-wrong_year,020024,2022,99,2024-06-15,final,7141,2467,9608
P0115-current,040026,2023,2,2024-06-15,final,6155,4085,10240
P0104-wrong_year,LEG-040015,2022,99,2024-06-15,final,5088,2556,7644
P0116-superseded,040027,2023,1,2024-01-01,final,999999,4224,10476
P0201-current,070022,2023,2,2024-06-15,final,7497,9039,16536
P0231-wrong_year,080022,2022,99,2024-06-15,final,3407,6209,9616
P0052-superseded,020023,2023,1,2024-01-01,final,999999,2328,9372
P0101-current,040012,2023,2,2024-06-15,final,4797,2139,6936
P0006-wrong_year,010007,2022,99,2024-06-15,final,2582,2934,5516
P0083-current,030024,2023,2,2024-06-15,final,3051,6637,9688
P0072-current,LEG-030013,2023,2,2024-06-15,final,8984,5108,14092
P0056-wrong_year,LEG-020027,2022,99,2024-06-15,final,7432,2884,10316
P0206-current,070027,2023,2,2024-06-15,final,7982,2734,10716
P0180-after_cutoff,070001,2023,9,2024-07-01,final,5460,6120,11580
P0193-current,070014,2023,2,2024-06-15,final,6721,7927,14648
P0042-current,020013,2023,2,2024-06-15,final,6074,7938,14012
P0059-wrong_year,020030,2022,99,2024-06-15,final,7723,3301,11024
P0064-current,LEG-030005,2023,2,2024-06-15,final,8208,3996,12204
P0139-current,050020,2023,2,2024-06-15,final,8483,7421,15904
P0228-superseded,080019,2023,1,2024-01-01,final,999999,5792,8908
P0082-wrong_year,030023,2022,99,2024-06-15,final,2954,6498,9452
p-880008,880008,2023,2,2024-06-15,final,?,2100,4100
P0149-current,050030,2023,2,2024-06-15,final,2453,8811,11264
P0076-wrong_year,030017,2022,99,2024-06-15,final,2372,5664,8036
P0114-current,040025,2023,2,2024-06-15,final,6058,3946,10004
p-990005,990005,2023,2,2024-06-15,final,?,2100,4100
P0055-wrong_year,020026,2022,99,2024-06-15,final,7335,2745,10080
P0040-not_final,LEG-020011,2023,8,2024-06-15,provisional,5880,7660,13540
P0119-wrong_year,040030,2022,99,2024-06-15,final,6543,4641,11184
P0093-current,040004,2023,2,2024-06-15,final,4021,8027,12048
P0138-wrong_year,050019,2022,99,2024-06-15,final,8386,7282,15668
P0128-superseded,LEG-050009,2023,1,2024-01-01,final,999999,5892,13308
P0127-current,050008,2023,2,2024-06-15,final,7319,5753,13072
P0070-not_final,030011,2023,8,2024-06-15,provisional,8790,4830,13620
P0188-superseded,070009,2023,1,2024-01-01,final,999999,7232,13468
